설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
반도유보라 정문 앞,대구광역시,달성군,대구광역시 달성군 유가읍 테크노대로 195,대구광역시 달성군 유가읍 봉리 627,35.690312,128.467951,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
옥포근린공원 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 3007,대구광역시 달성군 옥포읍 교항리 1101,35.786943,128.453125,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
천년다무2단지 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 돌미로 51,대구광역시 달성군 옥포읍 강림리 1105,35.780071,128.439668,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대성베르힐 건너(통신사 앞),대구광역시,달성군,대구광역시 달성군 옥포읍 돌미로 65,대구광역시 달성군 옥포읍 교항리 2912,35.780667,128.440930,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대성베르힐2차 근린공원 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 10,대구광역시 달성군 옥포읍 교항리 3055-4,35.783817,128.447446,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대성베르힐 정문 맞은편(청년다방 앞),대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 36,대구광역시 달성군 옥포읍 교항리 3034,35.781941,128.442098,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대구은행 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 14,대구광역시 달성군 옥포읍 교항리 3051,35.782922,128.440279,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대구강림초등학교 정문 앞 경비실 쪽,대구광역시,달성군,대구광역시 달성군 옥포읍 돌미로 15,대구광역시 달성군 옥포읍 강림리 1106,35.781245,128.436799,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
교항교차로 교통섬,대구광역시,달성군,대구광역시 달성군 옥포읍 교항남로 82,대구광역시 달성군 옥포면 교항리 1737-20,35.784014,128.450973,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
교항교차로 아파트 단지 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 8,대구광역시 달성군 옥포면 교항리 3055-9,35.784014,128.450973,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
투썸플레이스 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 2379-25,대구광역시 달성군 옥포읍 기세리 977-9,35.768847,128.489195,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
투썸플레이스 맞은편,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 2379-26,대구광역시 달성군 옥포읍 기세리 977-10,35.768755,128.488721,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
마루야 맞은편 버스정류장 쪽,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 2153,대구광역시 달성군 옥포읍 본리리 2228,35.787197,128.457304,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
참좋은김밥집 건너편,대구광역시,달성군,대구광역시 달성군 옥포읍 강림길 89,대구광역시 달성군 옥포읍 강림리 1223,35.779938,128.439303,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
한솥도시락 건너편,대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 32,대구광역시 달성군 옥포읍 교항리 3038,35.780862,128.441208,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
송해공원 주차장입구 교통섬,대구광역시,달성군,대구광역시 달성군 옥포읍 간경길 35,대구광역시 달성군 옥포읍 기세리 654-8,35.768650,128.488976,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
옥포할인마트 옆,대구광역시,달성군,대구광역시 달성군 옥포읍 간경길 50,대구광역시 달성군 옥포읍 간경리 680-2,35.794421,128.469737,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
옥포지구 투썸플레이스 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 교항서로 12,대구광역시 달성군 옥포읍 교항리 3052,35.782524,128.440838,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
이진캐스빌 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 교항남로 120,대구광역시 달성군 옥포읍 교항리 2895,35.783210,128.441157,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
허브시티아파트 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 강림길 103,대구광역시 달성군 옥포읍 강림리 1244,35.782428,128.436295,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
강림초등학교 앞,대구광역시,달성군,대구광역시 달성군 옥포읍 강림길 105,대구광역시 달성군 옥포읍 강림리 1249,35.782019,128.436231,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대성베르힐아파트 건너,대구광역시,달성군,대구광역시 달성군 옥포읍 교항남로 130,대구광역시 달성군 옥포읍 교항리 2917,35.781437,128.441936,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
테크노폴리스 제일풍경채 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 15,대구광역시 달성군 현풍읍 중리 539,35.691606,128.451907,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
천년나무3단지 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 11,대구광역시 달성군 현풍읍 중리 481-3,35.694733,128.456106,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
투썸플레이스 맞은편,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 13,대구광역시 달성군 현풍읍 중리 491,35.693213,128.455916,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
롯데시네마 현풍 맞은편,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 9,대구광역시 달성군 현풍읍 중리 481-1,35.693720,128.454902,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
엠허브메디컬센터 맞은편,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 15,대구광역시 달성군 현풍읍 중리 539,35.691606,128.451907,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
대구비슬유치원 맞은편,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 14,대구광역시 달성군 현풍읍 중리 519,35.694774,128.456258,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산고등학교 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 비슬로 2433-25,대구광역시 달성군 현풍읍 중리 426-9,35.689767,128.446552,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산서사거리(노브랜드 맞은편),대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 15,대구광역시 달성군 현풍읍 중리 539,35.691606,128.451907,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
경남은행 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노중앙대로 243,대구광역시 달성군 현풍읍 중리 491-2,35.692139,128.457391,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
비슬고등학교 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 17,대구광역시 달성군 현풍읍 중리 535,35.693190,128.448342,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
LH천년나무아파트 105동 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로 12,대구광역시 달성군 현풍읍 중리 487-5,35.689404,128.448652,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
일동미라주더파크 101동 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로2길 9,대구광역시 달성군 현풍읍 중리 485,35.692311,128.450085,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
108동 앞 횡단보도,대구광역시,달성군,대구광역시 달성군 현풍읍 테크노북로2길 10,대구광역시 달성군 현풍읍 중리 487,35.691544,128.449716,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
포산신협 앞,대구광역시,달성군,대구광역시 달성군 현풍읍 비슬로 2433-37,대구광역시 달성군 현풍면 중리 475-3,35.692779,128.439923,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
